branch,no_customer,customer,age,eduction_level,employ,address,income,debtinc,creddebt,othdebt,default
13,3080,60237,32,Some college,1,6,45,13.9,1.51,4.74,Yes
13,3080,60256,25,High school degree,6,2,29,5.9,0.64,1.07,No
13,3080,60309,37,Did not complete high school,9,6,33,1.2,0.11,0.28,No
13,3080,60324,27,Some college,1,2,28,23.5,0.82,5.76,No
13,3080,60346,56,High school degree,37,10,160,11.4,6.77,11.47,No
13,3080,60410,31,High school degree,11,6,61,34.4,9.48,11.5,Yes
13,3080,60435,59,Did not complete high school,31,15,86,6.8,1.61,4.23,No
13,3080,60494,65,Some college,26,16,186,4.2,2.98,4.83,No
13,3080,60497,26,Did not complete high school,0,3,29,16.9,3.09,1.81,Yes
13,3080,60499,27,Some college,3,4,68,24.9,5.23,11.7,Yes
13,3080,60515,30,Did not complete high school,6,3,22,15.5,0.13,3.28,Yes
13,3080,60625,43,Did not complete high school,22,13,96,1.2,0.34,0.81,No
13,3080,60634,30,College degree,4,5,64,14.1,2.83,6.19,No
13,3080,60657,18,High school degree,0,0,19,14,0.56,2.1,Yes
13,3080,60686,24,Some college,1,1,33,14,0.06,4.56,No
13,3080,60777,31,College degree,0,6,28,4.5,0.07,1.19,No
13,3080,60925,25,Did not complete high school,4,3,31,3.1,0.37,0.59,No
13,3080,60937,24,College degree,0,2,48,1.2,0.06,0.51,Yes
13,3080,60942,26,Some college,2,3,37,3.1,0.35,0.8,No
13,3080,60944,33,High school degree,13,5,54,16.2,2.88,5.87,Yes
13,3080,60947,44,College degree,18,9,136,4.2,1.42,4.3,No
13,3080,60949,18,High school degree,0,0,16,6,0.4,0.56,No
13,3080,60980,29,Some college,1,2,34,15.5,0.39,4.88,Yes
13,3080,61081,21,Some college,0,1,27,16.5,1.16,3.3,No
13,3080,61231,41,High school degree,22,13,54,4.1,0.82,1.39,No
13,3080,61255,40,College degree,11,8,238,7.9,6.34,12.47,No
13,3080,61272,37,Did not complete high school,5,10,21,14.5,0.71,2.33,No
13,3080,61437,24,Did not complete high school,6,3,36,13.2,1.92,2.83,No
13,3080,61475,24,College degree,0,4,18,2.9,0.18,0.34,No
13,3080,61481,18,High school degree,0,0,25,2.9,0.56,0.16,No
13,3080,61510,30,College degree,5,6,95,7,3.46,3.19,No
13,3080,61513,36,Did not complete high school,4,8,45,13.2,0.33,5.61,No
13,3080,61536,34,Did not complete high school,14,9,39,11.4,2.71,1.73,No
13,3080,61605,63,Some college,8,25,92,5.6,0.89,4.27,No
13,3080,61632,56,Post-undergraduate degree,16,19,232,2.8,2.1,4.39,No
13,3080,61637,41,High school degree,9,8,68,28.3,4.52,14.72,Yes
13,3080,61638,23,College degree,0,1,53,3,0.63,0.96,Yes
13,3080,61685,25,Post-undergraduate degree,0,3,32,14.6,1.45,3.22,Yes
13,3080,61722,22,Did not complete high school,1,1,22,3.2,0.16,0.55,No
13,3080,61760,58,High school degree,19,9,114,6.4,0.28,7.02,No
13,3080,61791,31,Some college,7,5,53,2.7,0.73,0.7,No
13,3080,61800,47,High school degree,6,10,40,8.7,1.31,2.17,Yes
13,3080,61802,55,High school degree,13,11,63,17.5,2.56,8.47,No
13,3080,61844,39,High school degree,9,5,60,9.2,2.08,3.44,No
13,3080,61875,27,Post-undergraduate degree,0,4,30,4.3,0.42,0.87,No
13,3080,61881,30,Some college,7,4,60,21.6,5.57,7.39,Yes
13,3080,61920,35,High school degree,6,5,32,7.6,0.82,1.61,No
13,3080,61946,30,College degree,4,7,30,9.2,0.89,1.87,No
13,3080,61952,19,High school degree,0,0,23,8.8,1.11,0.92,No
13,3080,61972,38,College degree,14,4,98,16.5,1.34,14.83,No
13,3080,61980,20,High school degree,1,0,19,8,0.78,0.74,No
13,3080,62038,43,High school degree,14,8,61,10.8,2.17,4.41,No
13,3080,62060,25,High school degree,2,3,25,9.9,1.4,1.08,No
13,3080,62074,41,Did not complete high school,11,5,36,10.2,1.37,2.31,Yes
13,3080,62109,37,Some college,3,4,36,6.7,0.68,1.73,No
13,3080,62155,22,Did not complete high school,0,2,17,3.7,0.14,0.49,Yes
13,3080,62168,23,High school degree,0,3,27,17.6,2.13,2.62,Yes
13,3080,62184,45,College degree,1,8,60,9.9,1.14,4.8,Yes
13,3080,62219,19,Did not complete high school,1,0,20,8.8,0.55,1.21,No
13,3080,62223,26,High school degree,6,3,23,13.6,0.13,3,No
13,3080,62229,25,College degree,0,2,21,22.3,1.68,3.01,Yes
13,3080,62238,49,College degree,1,8,51,11.2,1.86,3.85,No
13,3080,62301,76,Did not complete high school,15,20,26,5.6,0.14,1.32,No
13,3080,62380,28,Some college,1,3,16,5.2,0.5,0.33,No
13,3080,62399,37,Did not complete high school,18,8,36,4.8,0.44,1.29,No
13,3080,62406,41,Did not complete high school,9,8,29,5.6,0.25,1.38,No
13,3080,62428,30,High school degree,8,4,68,2.4,0.27,1.36,No
13,3080,62534,39,Some college,4,9,78,14,7.21,3.71,Yes
13,3080,62545,25,Some college,2,2,19,3.4,0.19,0.46,No
13,3080,62573,26,Post-undergraduate degree,0,4,19,7.7,0.67,0.79,No
13,3080,62602,24,Did not complete high school,8,2,28,6.6,0.26,1.59,No
13,3080,62610,61,Did not complete high school,0,10,42,18.4,4.01,3.72,No
13,3080,62637,26,High school degree,6,2,38,10.6,2.57,1.46,No
13,3080,62645,18,High school degree,0,0,44,9.2,1.25,2.8,No
13,3080,62691,41,High school degree,21,8,189,6.3,6.22,5.69,No
13,3080,62693,49,Some college,9,16,64,6.1,0.33,3.57,No
13,3080,62744,18,Did not complete high school,0,0,20,3.9,0.37,0.41,No
13,3080,62750,18,High school degree,0,0,24,6.5,0.3,1.26,No
13,3080,62792,52,College degree,2,12,96,7.1,2.28,4.54,Yes
13,3080,62812,32,High school degree,2,6,30,9.4,1.18,1.64,No
13,3080,62835,27,High school degree,6,5,42,9.1,2.19,1.64,Yes
13,3080,62837,23,Some college,0,2,57,17.8,2.73,7.42,Yes
13,3080,62863,29,College degree,3,3,46,8.1,0.29,3.44,No
13,3080,62867,73,High school degree,53,25,410,4.1,3.11,13.7,No
13,3080,62923,31,College degree,3,5,22,4.6,0.23,0.79,No
13,3080,62975,19,High school degree,0,0,28,9.1,0.87,1.68,Yes
13,3080,63023,57,High school degree,4,9,39,4.3,0.56,1.12,No
13,3080,63041,18,High school degree,0,0,19,1.5,0.06,0.22,No
13,3080,63054,22,Did not complete high school,1,1,19,8.9,0.49,1.2,No
13,3080,63055,21,High school degree,0,1,30,4.3,0.18,1.11,No
13,3080,63071,33,Some college,4,4,60,9.5,1.61,4.09,No
15,4809,70016,21,Some college,0,1,41,23.4,1.97,7.63,Yes
15,4809,70065,42,Some college,18,15,63,11.3,2.54,4.58,No
15,4809,70093,32,Some college,10,5,38,11.5,1.05,3.32,No
15,4809,70178,33,College degree,5,4,105,13.4,7.05,7.02,Yes
15,4809,70186,73,Did not complete high school,50,34,289,8.4,7.84,16.43,No
15,4809,70221,61,College degree,23,20,81,8.9,1.7,5.51,No
15,4809,70248,38,Post-undergraduate degree,2,8,229,6.7,3.94,11.4,No
15,4809,70269,46,Some college,13,11,45,22.2,3.33,6.66,Yes
15,4809,70325,20,Some college,0,0,20,7.2,0.34,1.1,Yes
15,4809,70403,19,High school degree,0,0,24,15.6,0.75,3,Yes
15,4809,70412,28,College degree,0,4,47,18.6,6.71,2.04,Yes
15,4809,70430,24,College degree,0,2,21,6.6,0.58,0.81,Yes
15,4809,70522,53,Did not complete high school,1,12,30,8.8,0.41,2.23,No
15,4809,70525,35,High school degree,14,7,62,8.2,0.6,4.48,No
15,4809,70548,43,High school degree,7,11,53,3.7,0.85,1.11,No
15,4809,70553,32,Did not complete high school,9,6,33,8.1,1.15,1.52,No
15,4809,70558,27,Did not complete high school,9,1,28,5.7,0.11,1.49,No
15,4809,70567,18,High school degree,0,0,22,1.5,0.13,0.2,No
15,4809,70673,19,High school degree,0,0,31,28.7,5.36,3.53,Yes
15,4809,70687,18,High school degree,0,0,36,6.2,1.05,1.18,Yes
15,4809,70710,54,High school degree,20,15,82,20,4.35,12.05,No
15,4809,70770,43,Some college,0,4,31,2.4,0.28,0.46,No
15,4809,70849,50,High school degree,15,14,65,12.6,3.05,5.14,No
15,4809,70886,26,Did not complete high school,10,3,31,8.8,0.78,1.95,No
15,4809,70888,35,High school degree,4,2,57,6,1.29,2.13,No
15,4809,70907,47,High school degree,6,12,34,4.4,0.53,0.97,No
15,4809,70938,31,Post-undergraduate degree,2,5,19,15.9,0.94,2.08,No
15,4809,71122,40,Some college,7,11,53,12.4,1.48,5.09,No
15,4809,71175,56,College degree,14,25,206,27.9,15.29,42.19,Yes
15,4809,71264,34,College degree,3,8,72,7.6,0.38,5.09,No
15,4809,71270,18,High school degree,0,0,18,12.7,0.65,1.64,Yes
15,4809,71417,46,High school degree,24,10,78,6.9,2.74,2.64,No
15,4809,71424,31,High school degree,2,6,45,3.1,0.43,0.96,No
15,4809,71431,25,High school degree,1,1,16,2.1,0.15,0.19,No
15,4809,71439,79,Did not complete high school,63,18,497,8.2,15.08,25.68,No
15,4809,71522,43,Some college,21,14,125,11.5,6.33,8.05,No
15,4809,71585,26,Did not complete high school,9,3,41,22.1,0.62,8.44,No
15,4809,71630,26,Some college,1,4,36,12.5,1.59,2.91,No
15,4809,71699,18,Did not complete high school,0,0,28,17,1.75,3.01,Yes
15,4809,71730,30,High school degree,0,4,25,7.4,0.26,1.59,No
15,4809,71732,47,Some college,3,8,69,5.2,0.9,2.69,No
15,4809,71758,18,High school degree,0,0,35,12.4,1.13,3.21,No
15,4809,71761,30,Did not complete high school,13,3,38,4.6,0.34,1.41,No
15,4809,71782,21,Some college,0,1,25,6.7,1.29,0.38,Yes
15,4809,71784,33,College degree,4,9,119,15.3,6.57,11.63,Yes
15,4809,71812,36,High school degree,3,6,28,4.9,0.26,1.12,No
15,4809,71817,26,High school degree,7,3,49,17.7,5.38,3.3,Yes
15,4809,71896,20,Some college,0,0,21,1.3,0.18,0.09,Yes
15,4809,72021,56,High school degree,19,8,76,1.2,0.18,0.73,No
15,4809,72023,42,College degree,7,12,130,11.6,3.33,11.75,Yes
15,4809,72147,23,College degree,0,3,47,8.9,0.62,3.56,No
15,4809,72213,32,Some college,3,8,86,7.9,2.2,4.59,No
15,4809,72221,20,Some college,0,0,30,10.6,2.53,0.65,Yes
15,4809,72302,19,High school degree,0,0,21,12,0.35,2.17,No
15,4809,72307,26,High school degree,1,0,26,11.1,1.69,1.19,Yes
15,4809,72327,19,High school degree,0,0,20,0.1,0.01,0.01,Yes
15,4809,72385,59,Some college,31,21,102,0.3,0.1,0.2,No
15,4809,72447,21,Some college,0,1,13,8.3,0.45,0.63,Yes
15,4809,72506,39,College degree,14,6,152,27.4,13.41,28.24,Yes
15,4809,72584,18,High school degree,0,0,12,3.3,0.11,0.29,Yes
15,4809,72633,20,High school degree,0,0,38,7.5,0.36,2.49,No
15,4809,72635,33,College degree,1,6,23,4.2,0.19,0.77,Yes
15,4809,72704,19,Did not complete high school,1,0,16,3.4,0.31,0.24,Yes
15,4809,72756,29,Some college,5,5,52,16.8,5.63,3.1,No
15,4809,72803,70,Some college,48,25,165,14.8,0.56,23.86,No
15,4809,72806,44,Did not complete high school,22,8,93,9,4.38,3.99,No
15,4809,72846,40,High school degree,20,10,117,11.9,4.94,8.98,No
15,4809,72860,21,High school degree,1,1,23,7.4,0.26,1.44,Yes
15,4809,72954,43,High school degree,8,11,48,9.7,1.32,3.34,No
15,4809,73016,27,High school degree,3,4,28,4.2,0.54,0.64,No
15,4809,73083,21,Some college,0,1,21,10.4,1.54,0.65,No
15,4809,73188,29,High school degree,3,5,45,14.1,1.68,4.66,Yes
15,4809,73525,41,High school degree,2,10,40,7.9,0.31,2.85,No
15,4809,73537,28,College degree,5,3,30,7,0.46,1.64,No
15,4809,73591,48,High school degree,5,10,43,6.9,2.26,0.7,Yes
15,4809,73650,25,Post-undergraduate degree,0,3,66,2.8,0.9,0.94,No
15,4809,73703,41,High school degree,3,7,62,7,2.89,1.45,Yes
15,4809,73741,22,High school degree,1,2,24,16.1,0.8,3.07,No
15,4809,73764,47,Some college,8,11,43,11.8,2.27,2.8,No
15,4809,73864,18,High school degree,0,0,24,5.3,0.59,0.68,No
15,4809,73907,28,Post-undergraduate degree,0,4,50,8.6,0.28,4.02,No
15,4809,73999,41,High school degree,5,8,37,5.8,0.35,1.8,No
15,4809,74006,31,High school degree,2,7,42,10.3,0.86,3.47,Yes
15,4809,74096,19,High school degree,0,0,21,14.3,1.22,1.78,No
15,4809,74136,31,Some college,1,7,28,2,0.17,0.39,No
15,4809,74169,18,High school degree,0,0,21,21.8,1.44,3.14,Yes
15,4809,74209,39,High school degree,5,5,39,4.2,0.72,0.92,No
15,4809,74221,20,High school degree,0,0,17,7.3,0.57,0.67,Yes
15,4809,74272,31,College degree,8,4,29,6.8,1.12,0.85,No
15,4809,74287,23,Did not complete high school,3,1,41,5.5,0.67,1.58,No
15,4809,74372,25,Some college,3,3,58,20.6,3.5,8.45,No
15,4809,74378,29,College degree,3,1,47,2.9,0.53,0.83,No
15,4809,74394,38,Some college,15,4,136,20.2,6.76,20.71,Yes
15,4809,74471,39,Did not complete high school,8,9,41,0.1,0.03,0.01,No
15,4809,74498,28,College degree,4,4,20,15.5,0.3,2.8,Yes
15,4809,74528,40,Some college,10,12,38,6.1,0.92,1.4,No
15,4809,74547,46,Some college,2,13,56,2.3,0.41,0.87,No
15,4809,74589,61,Did not complete high school,45,22,209,10.9,4.12,18.66,No
15,4809,74658,49,College degree,18,13,182,4.8,0.94,7.79,No
15,4809,74677,71,High school degree,35,19,131,11.6,6.03,9.16,No
20,4650,95009,20,Did not complete high school,2,0,20,2.7,0.2,0.34,Yes
20,4650,95034,20,Some college,0,0,20,11.3,1.96,0.3,Yes
20,4650,95050,18,High school degree,0,0,29,5.6,0.9,0.73,No
20,4650,95066,32,Post-undergraduate degree,3,6,59,9,1.85,3.46,No
20,4650,95138,42,Some college,2,13,22,13.6,1.46,1.53,Yes
20,4650,95177,43,Some college,9,9,57,4.5,1.81,0.76,No
20,4650,95185,27,Did not complete high school,7,5,43,10,1.2,3.1,No
20,4650,95204,23,High school degree,3,2,66,2.7,0.79,0.99,No
20,4650,95209,21,High school degree,1,0,33,13.1,1.31,3.01,Yes
20,4650,95220,49,Some college,24,11,90,13.9,8.06,4.45,No
20,4650,95299,49,High school degree,28,11,93,12.8,1.56,10.34,No
20,4650,95372,19,High school degree,0,0,28,9.7,1.35,1.37,Yes
20,4650,95384,24,College degree,0,2,21,11,0.72,1.59,Yes
20,4650,95388,23,College degree,0,1,30,12.8,2.3,1.54,Yes
20,4650,95450,43,Some college,13,9,82,9.9,1.78,6.34,No
20,4650,95481,28,High school degree,8,3,22,5.4,0.17,1.02,No
20,4650,95530,26,College degree,2,3,36,14.4,1.89,3.29,Yes
20,4650,95541,40,College degree,7,11,33,12.4,0.65,3.45,No
20,4650,95582,47,Did not complete high school,22,17,108,8.9,1.37,8.24,No
20,4650,95633,19,High school degree,0,0,22,16.8,1.64,2.06,Yes
20,4650,95641,71,Did not complete high school,18,27,57,11.5,2.58,3.97,No
20,4650,95723,72,College degree,26,24,146,12.6,2.12,16.28,No
20,4650,95739,45,High school degree,1,10,43,2.8,0.38,0.82,No
20,4650,95833,20,Some college,0,0,29,17,1.93,3,Yes
20,4650,95858,42,High school degree,7,8,47,7.8,1.02,2.65,No
20,4650,95859,33,College degree,1,3,40,13.3,0.87,4.45,No
20,4650,95998,42,High school degree,19,8,63,20.4,5.31,7.54,No
20,4650,96001,20,Some college,0,0,28,10.4,0.93,1.98,Yes
20,4650,96007,20,Some college,0,1,19,4.5,0.35,0.51,No
20,4650,96037,20,Some college,0,0,20,13.5,0.59,2.11,No
20,4650,96088,34,Some college,11,5,68,11.9,3.37,4.73,No
20,4650,96098,39,Did not complete high school,12,11,47,9.5,1.03,3.43,No
20,4650,96116,42,Did not complete high school,2,10,38,3.6,0.39,0.98,Yes
20,4650,96167,61,Did not complete high school,7,22,35,10.4,0.7,2.94,No
20,4650,96197,30,College degree,2,6,61,2.9,0.64,1.13,Yes
20,4650,96228,39,College degree,12,9,82,6.2,1.79,3.29,No
20,4650,96253,26,Some college,5,2,25,10.8,1.13,1.57,No
20,4650,96263,62,Some college,12,10,108,7.3,1.38,6.5,No
20,4650,96479,48,High school degree,17,8,81,30,11.64,12.66,Yes
20,4650,96521,39,Some college,17,9,165,3.3,2.55,2.89,No
20,4650,96536,51,Did not complete high school,33,13,234,9.6,4.25,18.22,No
20,4650,96611,31,Some college,4,6,43,6.9,0.66,2.31,No
20,4650,96627,45,Some college,19,7,286,5,4.53,9.77,No
20,4650,96714,44,College degree,0,9,167,10.6,7.79,9.91,Yes
20,4650,96732,28,High school degree,9,3,36,3.2,0.09,1.06,No
20,4650,96945,36,Some college,8,4,41,11.1,1.57,2.98,Yes
20,4650,96961,38,Post-undergraduate degree,4,5,66,10.7,2.4,4.66,Yes
20,4650,97000,61,High school degree,22,6,108,22.2,6.04,17.93,No
20,4650,97003,66,Some college,6,20,61,7.7,1.2,3.49,Yes
20,4650,97045,24,High school degree,5,3,31,10.4,0.7,2.52,No
20,4650,97048,45,Did not complete high school,12,10,44,9.8,1.6,2.72,No
20,4650,97147,47,Post-undergraduate degree,8,13,33,15.4,1.71,3.37,No
20,4650,97173,19,High school degree,0,0,25,3.9,0.68,0.29,Yes
20,4650,97191,28,High school degree,2,5,26,23.6,0.74,5.4,Yes
20,4650,97247,40,College degree,3,10,35,10,1.09,2.42,Yes
20,4650,97289,25,College degree,1,1,27,14.2,0.46,3.38,No
20,4650,97350,64,Did not complete high school,26,26,56,20.3,2.01,9.36,No
20,4650,97355,40,Some college,15,4,78,15.5,3.52,8.57,No
20,4650,97357,37,Post-undergraduate degree,1,10,90,1.8,0.25,1.37,No
20,4650,97402,56,High school degree,35,14,236,3.9,6.68,2.52,No
20,4650,97548,33,Some college,8,4,102,28.8,7.93,21.44,Yes
20,4650,97595,66,Some college,30,22,104,6.7,2.29,4.68,No
20,4650,97629,18,High school degree,0,0,28,9.9,1.05,1.72,No
20,4650,97815,52,Some college,28,23,108,3.9,2.21,2,No
20,4650,97845,46,Did not complete high school,2,10,38,8.2,0.5,2.62,Yes
20,4650,97911,51,High school degree,3,14,19,4.9,0.34,0.59,No
20,4650,97992,34,High school degree,6,4,45,9.1,1.31,2.78,No
20,4650,98023,19,High school degree,0,0,18,6.3,0.26,0.87,No
20,4650,98041,52,Did not complete high school,33,12,80,9,1.06,6.14,No
20,4650,98114,24,Did not complete high school,2,2,29,23.6,0.47,6.38,No
20,4650,98144,35,College degree,5,4,47,16.1,3.18,4.39,Yes
20,4650,98195,29,College degree,1,4,50,15.1,2.67,4.88,Yes
20,4650,98277,47,High school degree,10,10,48,7,1.98,1.38,No
20,4650,98410,26,Some college,4,4,50,0.8,0.13,0.27,No
20,4650,98611,27,College degree,2,3,34,11.4,2.16,1.72,No
20,4650,98648,19,High school degree,0,0,36,6.7,0.89,1.52,No
20,4650,98678,51,High school degree,28,20,134,4.1,1.75,3.74,No
20,4650,98849,46,Did not complete high school,13,12,94,15.7,8.31,6.45,Yes
20,4650,98854,23,Some college,1,1,30,13.6,2.04,2.04,Yes
20,4650,98855,19,High school degree,0,0,20,5.6,0.16,0.96,Yes
20,4650,98961,23,High school degree,3,1,27,17.8,0.93,3.88,Yes
20,4650,98972,30,College degree,1,6,16,8.5,1.08,0.28,Yes
20,4650,98987,21,Some college,0,0,35,6.8,0.91,1.47,Yes
20,4650,99058,20,Some college,0,0,35,5.8,0.76,1.27,No
20,4650,99139,23,College degree,0,2,36,1.1,0.1,0.29,No
20,4650,99161,46,Some college,2,14,27,12.1,0.55,2.72,No
20,4650,99306,43,High school degree,20,8,180,7.3,4.2,8.94,No
